section,level,heading,font_pt,pdf_page,printed_page
Background,1,Their,27.0,1,-15
Background,1,care &,27.0,1,-15
Background,1,keeping in,27.0,1,-15
Background,1,captivity,27.0,1,-15
Background,1,RAINBOW,128.8,1,-15
Background,1,FISHES,128.8,1,-15
Background,1,Adrian R. Tappin,24.0,5,-11
Background,1,About the Author,20.0,8,-8
Background,1,Foreword,24.0,9,-7
Background,1,Photographic Contributors,20.0,11,-5
Introduction,1,Introduction,20.0,17,1
History of Rainbowfishes in Captivity,1,History of Rainbowfishes in Captivity,20.0,20,4
Distribution & Habitat,1,Distribution & Habitat,20.0,23,7
Distribution & Habitat,1,Distribution,20.0,24,8
Distribution & Habitat,1,Natural Habitat,20.0,29,13
Distribution & Habitat,3,Tropical Rivers,12.0,34,18
Distribution & Habitat,1,Aquatic Habitat,20.0,38,22
Distribution & Habitat,1,New Guinea,20.0,44,28
Distribution & Habitat,3,Biodiversity,12.0,48,32
Distribution & Habitat,3,Fish Fauna,12.0,49,33
Collecting & Shipping,1,Collecting & Shipping,20.0,51,35
Collecting & Shipping,1,Collecting Rainbowfishes,20.0,52,36
Collecting & Shipping,3,Equipment,12.0,56,40
Collecting & Shipping,3,Collecting Procedure,12.0,58,42
Collecting & Shipping,3,Transporting Home,12.0,60,44
Collecting & Shipping,3,Consistent Biological Nomenclature,12.0,61,45
Collecting & Shipping,1,Shipping Rainbowfishes,20.0,62,46
Keeping & Caring,1,Keeping & Caring,20.0,65,49
Keeping & Caring,3,Lighting,12.0,66,50
Keeping & Caring,3,Water Quality,12.0,67,51
Keeping & Caring,3,Temperature,12.0,68,52
Keeping & Caring,3,Water Quality Factor,12.0,69,53
Keeping & Caring,3,Test Procedure,12.0,69,53
Keeping & Caring,3,Preferred Ranges,12.0,69,53
Keeping & Caring,3,Water Quality Factors,12.0,69,53
Keeping & Caring,3,Water Chemistry,12.0,69,53
Keeping & Caring,3,Alkalinity,12.0,70,54
Keeping & Caring,3,Carbon Dioxide,12.0,71,55
Keeping & Caring,3,Dissolved Oxygen,12.0,71,55
Keeping & Caring,3,Water Hardness,12.0,75,59
Keeping & Caring,3,Dissolved Salts,12.0,75,59
Keeping & Caring,3,pH of Water,12.0,76,60
Keeping & Caring,3,Practical Application of pH,12.0,76,60
Keeping & Caring,3,pH in Natural Waters,12.0,78,62
Keeping & Caring,3,Summary,12.0,80,64
Keeping & Caring,3,Stocking Density,12.0,80,64
Keeping & Caring,3,Aquarium Filtration,12.0,80,64
Keeping & Caring,3,Biological Filtration,12.0,81,65
Keeping & Caring,3,Loss of Biological Filtration,12.0,84,68
Keeping & Caring,3,Filter Turnover Rate,12.0,85,69
Keeping & Caring,3,Aeration and Circulation,12.0,85,69
Keeping & Caring,3,Diffused Air (Airstones),12.0,86,70
Keeping & Caring,3,General Maintenance,12.0,86,70
Keeping & Caring,3,Activated Carbon,12.0,88,72
Keeping & Caring,1,Outdoor Ponds,20.0,90,74
Keeping & Caring,3,The Pond Ecosystem,12.0,92,76
Keeping & Caring,3,Feeding Fish,12.0,93,77
Keeping & Caring,3,Outdoor Growing Ponds,12.0,94,78
Keeping & Caring,3,Predation,12.0,95,79
Keeping & Caring,3,Pond Fertilisation,12.0,95,79
Keeping & Caring,3,Australian & New Guinea Aquatic Plants,12.0,97,81
Keeping & Caring,1,Aquatic Plants,20.0,97,81
Keeping & Caring,1,Brackish Water Aquarium,20.0,107,91
Breeding & Raising,1,Breeding & Raising,20.0,109,93
Breeding & Raising,1,Breeding Rainbowfishes,20.0,110,94
Breeding & Raising,3,Breeding Blue Eyes,12.0,114,98
Breeding & Raising,3,Artificial Incubation of Eggs,12.0,114,98
Breeding & Raising,3,Incubation & Hatching Problems,12.0,116,100
Breeding & Raising,3,Nursery Aquarium,12.0,116,100
Breeding & Raising,1,Hybridisation,20.0,118,102
Breeding & Raising,1,Inbreeding,20.0,123,107
Breeding & Raising,1,Deformities,20.0,126,110
Breeding & Raising,3,•  Disturbance of fertilised eggs during the first 12 hours of,12.0,127,111
Breeding & Raising,3,•  Elevated levels of dissolved gases (CO 2  etc.) during,12.0,127,111
Breeding & Raising,3,•  Accelerated water flows in the larval/juvenile tanks.,12.0,127,111
Breeding & Raising,3,•  Alterations in water quality.,12.0,127,111
Breeding & Raising,3,•  Fluctuations in water  p H.,12.0,127,111
Breeding & Raising,3,•  Elevated levels of light intensity during larval development.,12.0,127,111
Breeding & Raising,3,•  Vitamin deficiency: There are numerous reports of deformities,12.0,127,111
Breeding & Raising,3,•  Amino acid deficiency: Amino acids may be absent in foods,12.0,127,111
Breeding & Raising,3,•  Hereditary: Mostly as a result of inbreeding - most prominent,12.0,127,111
Breeding & Raising,3,"•  Heavy metals (arsenic, copper, lead, mercury), have been",12.0,127,111
Breeding & Raising,3,•  Spinal,12.0,127,111
Breeding & Raising,3,•  Antibiotic therapy: Spinal deformities and decreased growth,12.0,127,111
Breeding & Raising,3,•  Infectious disease (particularly of bacterial origin).,12.0,127,111
Breeding & Raising,3,"•  If the proportion of deformed larvae exceeds 25–30%, reject",12.0,127,111
Breeding & Raising,3,"•  Careful selection, nutrition and conditioning of brood-stock.",12.0,127,111
Breeding & Raising,3,•  Proper collection and incubation of fertilised eggs.,12.0,127,111
Breeding & Raising,3,•  Meticulous control and recording of water parameters and,12.0,127,111
Breeding & Raising,3,•  Avoid inbreeding by using two independent lines  from the,12.0,127,111
Breeding & Raising,1,Colouration,20.0,128,112
Foods & Feeding,1,Foods & Feeding,20.0,131,115
Foods & Feeding,1,Feeding Rainbowfishes,20.0,132,116
Foods & Feeding,3,Feeding & Reproduction,12.0,133,117
Foods & Feeding,3,Table 1.,12.0,134,118
Foods & Feeding,3,Nutrafin,12.0,134,118
Foods & Feeding,3,Formulated Diet,12.0,134,118
Foods & Feeding,3,Egg Number,12.0,134,118
Foods & Feeding,3,Total Spawns,12.0,134,118
Foods & Feeding,3,Av. Spawning Interval (Days),12.0,134,118
Foods & Feeding,3,Survival to Eyed Embryo %,12.0,134,118
Foods & Feeding,3,Hatching Rate %,12.0,134,118
Foods & Feeding,3,Unfed Larval Life (Days),12.0,134,118
Foods & Feeding,3,Essential Fatty Acids,12.0,135,119
Foods & Feeding,3,Feeding in Captivity,12.0,135,119
Foods & Feeding,3,Feeding Skills,12.0,138,122
Foods & Feeding,3,Feeding and Nutrition,12.0,139,123
Foods & Feeding,3,Feeding Larvae,12.0,140,124
Foods & Feeding,3,Feeding Program,12.0,141,125
Foods & Feeding,3,Formulated (Dry) Diets,12.0,142,126
Foods & Feeding,3,Frozen Food,12.0,144,128
Foods & Feeding,2,Infusoria,14.0,145,129
Foods & Feeding,3,Feeding  Infusoria,12.0,146,130
Foods & Feeding,2,Phytoplankton,14.0,147,131
Foods & Feeding,3,Semi-intensive Green-water System,12.0,149,133
Foods & Feeding,3,Artificial Green-water,12.0,149,133
Foods & Feeding,3,Microalgae Feed Supplements,12.0,150,134
Foods & Feeding,3,Culturing Algae,12.0,151,135
Foods & Feeding,2,Copepods,14.0,152,136
Foods & Feeding,2,Rotifers,14.0,153,137
Foods & Feeding,3,Culture,12.0,154,138
Foods & Feeding,2,Microworms,14.0,156,140
Foods & Feeding,2,Vinegar Eelworms,14.0,160,144
Foods & Feeding,2,Whiteworms,14.0,161,145
Foods & Feeding,2,Grindal Worms,14.0,164,148
Foods & Feeding,2,Wonderful Worms,14.0,165,149
Foods & Feeding,3,Earthworms,12.0,165,149
Foods & Feeding,3,Blackworms,12.0,165,149
Foods & Feeding,3,Tubifex Worms,12.0,166,150
Foods & Feeding,3,Feeding Worms,12.0,166,150
Foods & Feeding,2,Brine Shrimp,14.0,167,151
Foods & Feeding,3,Hatching Brine Shrimp,12.0,168,152
Foods & Feeding,3,Decapsulated Brine Shrimp Eggs,12.0,170,154
Foods & Feeding,2,Mosquito Larvae,14.0,171,155
Foods & Feeding,2,Bloodworms,14.0,172,156
Foods & Feeding,3,Remarks,12.0,173,157
Foods & Feeding,1,Drosophila,20.0,174,158
Foods & Feeding,2,Daphnia,14.0,176,160
Foods & Feeding,2,Summary,14.0,180,164
Disease Prevention & Control,1,Disease Prevention & Control,20.0,491,475
Disease Prevention & Control,3,Diagnosing Disease Problems,12.0,493,477
Disease Prevention & Control,3,Responding to Disease,12.0,494,478
Disease Prevention & Control,3,Chemical Treatment,12.0,494,478
Disease Prevention & Control,3,Obtaining Medications,12.0,495,479
Disease Prevention & Control,3,Disease Prevention,12.0,496,480
Disease Prevention & Control,3,General Maintenance,12.0,498,482
Disease Prevention & Control,3,Handling Specific Problems,12.0,500,484
Disease Prevention & Control,2,Parasitic Infections,14.0,500,484
Disease Prevention & Control,3,Argulus,12.0,503,487
Disease Prevention & Control,3,Ergasilus,12.0,503,487
Disease Prevention & Control,3,Ichthyobodo,12.0,504,488
Disease Prevention & Control,3,Ichthyophthiriasis (White Spot Disease),12.0,504,488
Disease Prevention & Control,3,Lernaea,12.0,508,492
Disease Prevention & Control,3,Piscinoodiniasis (Velvet Disease),12.0,510,494
Disease Prevention & Control,3,Trichodiniasis,12.0,512,496
Disease Prevention & Control,3,Gill & Body Flukes,12.0,513,497
Disease Prevention & Control,3,Water Mites,12.0,515,499
Disease Prevention & Control,2,Bacterial Disease,14.0,516,500
Disease Prevention & Control,3,General,12.0,516,500
Disease Prevention & Control,3,Fin & Tail Rot,12.0,519,503
Disease Prevention & Control,3,Flavobacteriosis (Columnaris Disease),12.0,519,503
Disease Prevention & Control,2,Fungal Disease,14.0,521,505
Disease Prevention & Control,2,Worms,14.0,523,507
Disease Prevention & Control,2,Hydra,14.0,524,508
Disease Prevention & Control,2,Planaria,14.0,526,510
Disease Prevention & Control,2,Abdominal Swelling,14.0,528,512
Disease Prevention & Control,2,Nutritional Disease,14.0,528,512
Disease Prevention & Control,2,Environmental Toxicities,14.0,529,513
Disease Prevention & Control,2,Obtaining Information,14.0,529,513
Disease Prevention & Control,1,Mycobacteriosis,20.0,530,514
Disease Prevention & Control,3,Clinical Signs,12.0,531,515
Disease Prevention & Control,3,Source of Infection,12.0,531,515
Disease Prevention & Control,3,Diagnosis,12.0,532,516
Disease Prevention & Control,3,Hobbyists Diagnose,12.0,532,516
Disease Prevention & Control,3,Treatment,12.0,532,516
Disease Prevention & Control,3,Personal Experience,12.0,534,518
Disease Prevention & Control,3,Zoonosis,12.0,535,519
Disease Prevention & Control,1,Chemical Treatments,20.0,536,520
Disease Prevention & Control,3,Chemical Effect on Nitrifying Bacteria,12.0,543,527
Disease Prevention & Control,1,Antibiotics,20.0,544,528
Disease Prevention & Control,3,Antibiotic Resistance,12.0,545,529
Disease Prevention & Control,3,Antibiotics use in Aquariums,12.0,547,531
Disease Prevention & Control,1,Ultraviolet Disinfection,20.0,549,533
Disease Prevention & Control,3,Target Microorganism,12.0,550,534
Disease Prevention & Control,3,Photoreactivation,12.0,551,535
Disease Prevention & Control,3,Summary,12.0,551,535
Disease Prevention & Control,3,Volume Calculations,12.0,552,536
Disease Prevention & Control,3,Aquarium Medication Calculations,12.0,552,536
Disease Prevention & Control,3,Miscellaneous (parts per million and percent),12.0,552,536
Disease Prevention & Control,1,Aquarium Calculations,20.0,552,536
Disease Prevention & Control,3,Converting ppm to ppt:,12.0,553,537
Disease Prevention & Control,3,Converting µS to mS:,12.0,553,537
Disease Prevention & Control,3,Units of Concentrations,12.0,553,537
Sources of Information,1,Source of Information,20.0,555,539
Sources of Information,1,Produced by,18.0,576,560
Sources of Information,1,Art,30.0,576,560
Sources of Information,1,Publications,18.0,576,560
